nome,vendedor,reviews,preco_antigo,preco_atual
Nome: Notebook Acer Nitro V15 Anv15-52-96aq Intel® Core I9-13900h De 13° G 16gb 512gb Ssd Rtx4060 Windows 11 Home 15.6,Vendedor: Por Acer Brasil,Avaliação: 4.5 (11 reviews),Preço antigo: R$8.999,Preço atual: R$7.799
Nome: Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 8gb 512gb Ssd Linux 15.3 - 83nss00000 Luna Grey,Vendedor: Por Lenovo,Avaliação: 4.9 (10 reviews),Preço antigo: R$3.199,Preço atual: R$2.799
Nome: Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Vendedor: Por Positivo,Avaliação: 4.6 (3696 reviews),Preço antigo: R$1.999,Preço atual: R$1.499
Nome: Notebook Asus Vivobook S14 S3407va Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Tela 14 Led Fhd Silver - Ly043w,Vendedor: Por Asus,Avaliação: 5.0 (4 reviews),Preço antigo: R$5.999,Preço atual: R$5.045
"Nome: Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w",Vendedor: Por Asus,Avaliação: 4.9 (57 reviews),Preço antigo: R$3.599,Preço atual: R$2.914
Nome: Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Vendedor: Por Dell,Avaliação: 4.8 (2198 reviews),Preço antigo: R$3.698,Preço atual: R$3.370
Nome: Notebook Dell Inspiron I15-i3100-a15p Core 3 8gb 512gb W11 Preto,Vendedor: Por Dell,Avaliação: 5.0 (3 reviews),Preço antigo: —,Preço atual: R$2.949
"Nome: Compatível Novo Para El Painel Táctil Legion 5 Pro-16ach6h,",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$118,Preço atual: R$112
"Nome: Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Vendedor: Por Acer Brasil,Avaliação: 4.8 (1567 reviews),Preço antigo: R$7.299,Preço atual: R$5.499
Nome: Notebook Aspire GO 15 Ag15-71p-5405 Ci5 16gb 512gb Ssd Led Linux Acer,Vendedor: Por Mercado Livre,Avaliação: 4.9 (20 reviews),Preço antigo: R$4.932,Preço atual: R$2.999
"Nome: Notebook Acer TravelMate Intel® Core™ i7–1355U de 13ª Geração 16GB RAM 512SSD Windows 11 Pro 14"" WUXGA TMP214-55-70G2",Vendedor: Por Acer Brasil,Avaliação: 4.6 (16 reviews),Preço antigo: R$7.999,Preço atual: R$4.499
Nome: Notebook C14 15.6 Preto 4gb De Ram - Intel Celeron,Vendedor: Por Carrefour,Avaliação: — (— reviews),Preço antigo: R$1.584,Preço atual: R$1.399
"Nome: Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC 110V/220V",Vendedor: Por Mercado Livre,Avaliação: 4.8 (9399 reviews),Preço antigo: R$3.682,Preço atual: R$2.598
"Nome: Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",Vendedor: não encontrado,Avaliação: 4.6 (505 reviews),Preço antigo: R$2.141,Preço atual: R$1.225
"Nome: Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Vendedor: Por Loi Brasil,Avaliação: 5.0 (3 reviews),Preço antigo: R$4.666,Preço atual: R$2.999
Nome: Notebook Acer Aspire 5 15.6 Fhd I5-12450h 256gb Ssd 8gb Cor Cinza,Vendedor: Por Itotal,Avaliação: 4.6 (130 reviews),Preço antigo: R$3.990,Preço atual: R$2.747
"Nome: Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",Vendedor: Por Eshop,Avaliação: 4.8 (467 reviews),Preço antigo: R$3.237,Preço atual: R$2.541
"Nome: Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Vendedor: Por TCN,Avaliação: 4.8 (1572 reviews),Preço antigo: R$3.190,Preço atual: R$2.289
"Nome: Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",Vendedor: Por Asus,Avaliação: 4.8 (437 reviews),Preço antigo: R$3.299,Preço atual: R$2.695
Nome: Compatível 6 Dc 12v On/off Switch In,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$101,Preço atual: R$96
Nome: Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,Vendedor: Por 123 Comprou,Avaliação: 4.1 (7 reviews),Preço antigo: R$2.427,Preço atual: R$1.529
"Nome: Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Vendedor: Por Fast Shop,Avaliação: 4.9 (793 reviews),Preço antigo: R$3.199,Preço atual: R$2.734
"Nome: Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Led Fhd Silver - Nj1726",Vendedor: Por Asus,Avaliação: 4.6 (32 reviews),Preço antigo: R$2.799,Preço atual: R$2.491
Nome: Notebook Inspiron I15-i1300-a80p I7 16gb 1tb W11 Preto Dell,Vendedor: Por Dell,Avaliação: 4.0 (7 reviews),Preço antigo: R$5.398,Preço atual: R$4.899
Nome: Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home,Vendedor: Por 2Eletro,Avaliação: 4.9 (58 reviews),Preço antigo: R$4.636,Preço atual: R$2.999
Nome: Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Vendedor: Por HP,Avaliação: 4.8 (356 reviews),Preço antigo: R$3.232,Preço atual: R$2.754
"Nome: Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Vendedor: Por INPOWER,Avaliação: 4.8 (897 reviews),Preço antigo: R$4.599,Preço atual: R$3.699
Nome: Notebook Dell 15.6  Fhd Intel I7 16gb 512gb Ssd Preto,Vendedor: Por Dell,Avaliação: 4.8 (47 reviews),Preço antigo: R$4.739,Preço atual: R$4.399
Nome: Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Vendedor: Por Positivo,Avaliação: 4.5 (559 reviews),Preço antigo: R$2.099,Preço atual: R$1.399
Nome: Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Vendedor: Por HP,Avaliação: 4.8 (356 reviews),Preço antigo: R$3.232,Preço atual: R$2.754
Nome: Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 16gb 512gb Ssd Windows 11 15.3 - 83ns0001br Luna Grey,Vendedor: Por Lenovo,Avaliação: 4.9 (31 reviews),Preço antigo: R$3.799,Preço atual: R$3.329
Nome: Compatível 6 Dc 12v On/off Switch In,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$101,Preço atual: R$96
"Nome: Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Vendedor: Por Positivo,Avaliação: 4.6 (1232 reviews),Preço antigo: R$2.641,Preço atual: R$1.756
"Nome: Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Vendedor: Por Samsung,Avaliação: 4.8 (2254 reviews),Preço antigo: R$4.099,Preço atual: R$3.704
Nome: Ventilador De Acampamento Usb Operado Por,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$142,Preço atual: R$135
Nome: Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Vendedor: Por Mobcom,Avaliação: 4.9 (627 reviews),Preço antigo: R$5.879,Preço atual: R$4.899
"Nome: Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Vendedor: Por 123 Comprou,Avaliação: 4.7 (79 reviews),Preço antigo: R$3.284,Preço atual: R$2.299
"Nome: Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",Vendedor: Por 123 Comprou,Avaliação: 4.6 (213 reviews),Preço antigo: R$3.212,Preço atual: R$2.024
Nome: Compatível Substituição Moldura Frontal Tampa Lcd Para,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$56,Preço atual: R$53
"Nome: Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Vendedor: Por Positivo,Avaliação: 4.5 (5385 reviews),Preço antigo: R$1.649,Preço atual: R$1.299
Nome: Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Vendedor: Por Mobcom,Avaliação: 4.9 (114 reviews),Preço antigo: R$6.657,Preço atual: R$4.699
"Nome: Compatível Novo Para Thinkpad L13 Gen 3, Maiúsculas Para",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
Nome: Capa Para Apoio De Mãos Compatível Com Precision 3570,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$227,Preço atual: R$216
Nome: Ventilador De Resfriamento Compatível Para Computador,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$40,Preço atual: R$38
"Nome: Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",Vendedor: Por Positivo,Avaliação: 4.7 (230 reviews),Preço antigo: R$2.199,Preço atual: R$1.499
Nome: Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Vendedor: Por HP,Avaliação: 4.8 (356 reviews),Preço antigo: R$3.232,Preço atual: R$2.754
Nome: Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Vendedor: Por Mobcom,Avaliação: 4.9 (114 reviews),Preço antigo: R$6.657,Preço atual: R$4.699
Nome: Capa Traseira Compatível Com Lcd Latitude 3440,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$184,Preço atual: R$174
Nome: Cabo De Substituição Do Touchpad Trackpad Compatível Com,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$129,Preço atual: R$122
Nome: Novo Alto-falante Integrado Compatível Para Ideapad Pro 5,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$124,Preço atual: R$118
Nome: Licença De Botão Liga/desliga Para Laptop Compatível Com,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$72,Preço atual: R$68
Nome: Compatível Novo Cabo Táctil Thinkpad X1 Carbon 7º 8º,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$97,Preço atual: R$92
Nome: Compatível Altavoz Para Portátil Durável Reemplaza,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$95,Preço atual: R$90
Nome: Teclado De Laptop De Substituição Compatível Com 86 Teclas,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$42,Preço atual: R$40
"Nome: = Caderno Grande De Couro Vintage A5, De Desenho, Criativo.",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: —,Preço atual: R$85
Nome: Compatível 5h40x89386 Para Ventiladores De Dissipador De,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$368,Preço atual: R$349
Nome: Ventilador De Refrigeração De Substituição Compatível,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$324,Preço atual: R$308
Nome: Compatível Tela Lcd Tampa Traseira Fhd24 Nova Para,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$297,Preço atual: R$282
Nome: Compatível Funda Trasera Plata 5cb1b96517 Para Ideapad,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$291,Preço atual: R$277
Nome: Capa Traseira Compatível Com Inspiron 16 5630 5635,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$287,Preço atual: R$272
Nome: Nova Capa Traseira Compatível Para Inspiron 16plus 7630,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$285,Preço atual: R$270
"Nome: Capa Traseira Compatível 0tkxft Nova Para Latitude 7520,",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$281,Preço atual: R$267
"Nome: Ventilador De Resfriamento Compatível Para Laptop, Cpu, Gpu,",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: —,Preço atual: R$265
Nome: Tampa Inferior Do Alojamento Inferior Compatível,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$276,Preço atual: R$262
Nome: Capa Traseira Compatível Para Lcd Pavilion 16-af 16-ag,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$265,Preço atual: R$251
Nome: Nova Caixa Inferior Compatível Para Latitude 13 3330 0133ff,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$259,Preço atual: R$246
Nome: Compatível Nueva Cubierta Inferior De La Base Inferior For,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$249,Preço atual: R$236
Nome: Compatível Novo Para Reposamanos L13 Upper Case Kb Bezel No,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$238,Preço atual: R$226
Nome: Abridor De Estação De Lubrificação Compatível,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$234,Preço atual: R$222
Nome: Caixa Superior Compatível Com Apoio Para As Mãos Ideapad,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$232,Preço atual: R$221
Nome: Capa Compatível Nova Para Thinkbook 16 G6 Irl 16 G7 Iml,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$232,Preço atual: R$221
Nome: Novo Compatível Com Precision 7680 Com Apoio Para As Mãos E,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$232,Preço atual: R$221
Nome: Gabinete Inferior Compatível 5cb1m48390 Para Thinkbook 16 G6,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$227,Preço atual: R$216
"Nome: Compatível Com 0jdvg5 Para Latitude 7320, Tampa Traseira De",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$227,Preço atual: R$216
Nome: Nova Capa Traseira Lcd Compatível Para Probook 650 G9 655,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$226,Preço atual: R$215
Nome: Compatível Com Latitude E5520 E5530 Apoio Para As Mãos,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$221,Preço atual: R$210
Nome: Capa Traseira Lcd Compatível 08t46t Para Inspiron 14pro 5420,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$221,Preço atual: R$210
Nome: Novo Compatível Para A Base Inferior Da Caixa Do,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$216,Preço atual: R$205
"Nome: Novo Compatível Para Latitude 7490, Caixa Inferior,",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
"Nome: Compatível 5cb1b60408 Para Ideapad 3-14itl6 3 14aba7,",Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
Nome: Gabinete Inferior Compatível M46280-001 Para Probook X360,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
Nome: Carcaça Traseira De Lcd Prata Compatível L03439-001 Para,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
Nome: Novo Case Compatível Com Moldura Frontal Lcd 0007x8 Para,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
Nome: Base Inferior Compatível Para Elitebook 735 830,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$211,Preço atual: R$200
Nome: Nova Capa Traseira Lcd Compatível Com Ideapad Gaming,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$210,Preço atual: R$199
Nome: Capa Traseira Lcd Compatível 094d8x Para Precision 3560,Vendedor: não encontrado,Avaliação: — (— reviews),Preço antigo: R$208,Preço atual: R$198
Nome: Compatível Nova Cubierta Trasera Para Latitude E5320 E5330,Vendedor: não encontrado,Avaliação: 5.0 (1 reviews),Preço antigo: R$205,Preço atual: R$195
