nome;source
Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289;https://lista.mercadolivre.com.br/notebooks
"Notebook Vaio fe16 amd ryzen 5-5625u linux 12gb 512gb ssd tela 16"" ips wuxga antirreflexo cinza grafite vjfe69f11x-b1211h memória expansível até 64gb";https://lista.mercadolivre.com.br/notebooks
Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home;https://lista.mercadolivre.com.br/notebooks
Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD;https://lista.mercadolivre.com.br/notebooks
"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)";https://lista.mercadolivre.com.br/notebooks
"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5 - Excelente (Recondicionado)";https://lista.mercadolivre.com.br/notebooks
"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W";https://lista.mercadolivre.com.br/notebooks
Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H;https://lista.mercadolivre.com.br/notebooks
Notebook Vaio Intel Core I7 10ª Geração 16gb Ssd 256gb Cinza (Recondicionado);https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto;https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera Preto;https://lista.mercadolivre.com.br/notebooks
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR";https://lista.mercadolivre.com.br/notebooks
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD";https://lista.mercadolivre.com.br/notebooks
Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H;https://lista.mercadolivre.com.br/notebooks
Notebook Vaio Intel Core I7 10ª Geração 16gb Ssd 256gb Cinza (Recondicionado);https://lista.mercadolivre.com.br/notebooks
Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11;https://lista.mercadolivre.com.br/notebooks
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto;https://lista.mercadolivre.com.br/notebooks
