nome,vendedor,Avaliação,reviews,preco_antigo,preco_atual
Notebook Gamer Predator Helios Neo / Phn16-72-74vx / Intel® Core I7-14700hx De 14ªgeração / 16gb / 512ssd / Windows 11 Home / Nvidia Geforce Rtx 4070 Gddr6 / Tela 16,Acer Brasil,4.8,100,Preço não encontrado,12.999
Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,Mercado Livre,4.7,609,2.599,2.368
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR",123 Comprou,4.8,668,4.141,2.879
"Notebook Lenovo Ideapad 1i I7 12gb 512gb Ssd 15,6 Cloud Grey",Fast Shop,4.8,10,4.199,3.62
"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",Vendedor não encontrado,4.7,104,5.199,2.664
"Notebook Inspiron I16-U7155H-A10 16"" prateado 16GB de Ram - 1TB SSD - Intel Core Ultra 7",Dell,5.0,4,Preço não encontrado,10.063
"Notebook Vaio fe16 amd ryzen 5-5625u linux 12gb 512gb ssd tela 16"" ips wuxga antirreflexo cinza grafite vjfe69f11x-b1211h memória expansível até 64gb",Eshop,4.7,26,3.849,3.098
Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home,2Eletro,4.9,47,4.199,3.599
Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD,Acer Brasil,4.8,451,Preço não encontrado,3.599
"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",Micro Livre,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.506
"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",Micro Livre,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.599
"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",Mercado Livre,4.8,144,Preço não encontrado,2.944
"Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H",Eshop,4.8,43,4.95,2.89
Notebook Vaio Intel Core I7 10ª Geração 16gb Ssd 256gb Cinza (Recondicionado),Canal Eletro,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.899
Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Dell,4.8,1006,2.999,2.829
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,2Eletro,4.0,5,4.11,3.199
Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera Preto,Dell,4.8,8,3.319,3.069
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR",123 Comprou,4.8,668,4.141,2.879
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Loi Brasil,5.0,1,4.666,3.299
"Notebook VAIO FE15 Intel Core i5 12ªgen 8GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux - Cinza Grafite - VJFE54F11XB2321H",Eshop,4.8,43,4.95,2.89
Notebook Vaio Intel Core I7 10ª Geração 16gb Ssd 256gb Cinza (Recondicionado),Canal Eletro,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.899
Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Dell,4.8,1006,2.999,2.829
Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,2Eletro,4.0,5,4.11,3.199
"Notebook Samsung Galaxy Book4 Ultra Intel® Core™ Ultra 9 185H , Windows 11 Home, 32GB, 1TB SSD, 16'' WQXGA+ AMOLED 2x, antirreflexo, touchscreen, 1.86 kg",Samsung,4.6,42,14.199,13.489
Apple Macbook air 13 M4 16gb Ram 256gb Ssd Meia-noite,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,9.699
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Vikings,4.9,1356,5.712,3.899
"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vikings,4.8,4606,4.199,2.999
"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",INPOWER,4.8,692,4.599,3.699
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 512gb Ssd Intel Iris Xe Windows 11 Home Tela 15,6 Fhd Silver - Nj1740w",Asus,5.0,19,3.599,3.113
Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,HP,4.9,20,4.944,2.469
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Lenovo,4.9,419,5.859,4.799
"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Eshop,4.8,80,7.419,4.929
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h - Permite upgrade de memória RAM e SSD",Vaio,4.8,68,4.799,3.299
"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Linux 14"" 83AFS00500",Lenovo,4.8,5440,2.199,1.914
"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",123 Comprou,4.5,387,2.055,1.367
Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Mobcom,4.8,979,4.999,3.099
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD,123 Comprou,4.9,42,4.998,2.879
Rhodia QUADRICULADO A5 Capa Laranja 80 folhas  quadriculadas unidade x 1,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,51.0
"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",Login,4.7,264,4.999,3.799
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Vikings,4.9,1356,5.712,3.899
"Notebook Vaio Fe15 - Intel Core I3 12th, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Vjfe54f11x-b0921h - Cinza Grafite",Eshop,5.0,1,3.9,2.535
"Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11",2Eletro,4.8,24,3.999,3.059
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Windows 11 Home Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1737w",Mercado Livre,5.0,2,3.249,2.91
Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,Mercado Livre,4.8,482,4.372,2.699
Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,123 Comprou,Avaliação não encontrada,reviews não encontrados,3.123,1.664
Notebook Lenovo T490 Core I5 8365u 1.6ghz Ssd 256gb 16gb 8ª Cor Preto,Vendedor não encontrado,4.1,7,Preço não encontrado,2.099
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Windows 11 Home Tela 15,6 Led Fhd Blue - Nj1745w",Asus,4.4,7,4.399,3.809
"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8 Bivolt",Mercado Livre,4.8,7661,4.117,3.096
Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza,Vendedor não encontrado,4.8,81,3.563,3.076
Notebook Acer Aspire 5 15.6 Fhd I5-12450h 256gb Ssd 8gb Cor Cinza,Itotal,4.6,116,3.99,2.747
Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,HP,4.8,239,3.517,2.799
Notebook Dell Inspiron 5402 Core I5 11th 8gb 256gb Ssd Win10 - Excelente (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,2.999,2.789
"Notebook Samsung Galaxy Book4 Ultra Intel® Core™ Ultra 7 155H , Windows 11 Home, 32GB, 1TB SSD, 16'' WQXGA+ AMOLED 2x, antirreflexo, touchscreen, 1.86 kg",Samsung,4.7,94,12.699,11.114
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - - Permite upgrade de memória RAM e SSD",Vaio,4.8,37,4.999,3.799
Notebook Hp 250r G9 Intel Core I5 1335u 8gb 256gb Ssd 15.6 W11 Pro Ay6w3la,2Eletro,4.3,11,3.61,3.099
"Notebook ASUS Vivobook Go 15 E1504FA AMD Ryzen 3 7320U 4Gb Ram 128Gb SSD Windows 11 Home Tela 15,6 FHD Mixed Black - NJ1364W",Vendedor não encontrado,4.7,104,2.9,2.262
Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,HP,4.8,285,3.232,2.499
"Notebook Samsung Book4 I5-1335u 8gb 256gb Ssd 15,6 Full Hd Windows 11 Pro Np754xgj-kg5br 110v/220v",2Eletro,4.9,62,4.398,3.899
Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11,Dell,4.8,1177,Preço não encontrado,3.132
Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,Dell,4.9,95,Preço não encontrado,5.46
"Notebook Samsung Galaxy Book3 360 Intel Core I5 1335U, 8GB, 256GB SSD Tela 13.3' Windows11H - NP730QFG-KF2BR",Vendedor não encontrado,4.8,70,Preço não encontrado,5.636
Notebook Lenovo Ideapad 1i I5 1235u 8gb 512gb Ssd Win11 Home,Eshop,5.0,1,3.959,2.925
Notebook Dell Latitude 7490 I7 8° 16gb Ssd 512gb Win 11,Vendedor não encontrado,4.3,4,Preço não encontrado,2.871
Notebook Lenovo Thinkpad T495 Ryzen 5 Pro Ram 8gb Ssd 256gb,Micro Livre,Avaliação não encontrada,reviews não encontrados,2.499,1.574
Notebook Dell Xps 13 Intel Core Ultra 7 16gb 1tb Ssd Win11 Prata,Dell,5.0,1,15.199,13.999
"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Positivo,4.7,109,3.599,2.499
"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Vendedor não encontrado,4.8,5440,Preço não encontrado,2.499
"Notebook Gamer ASUS TUF Gaming A15, Ryzen 7, RTX 2050, 8GB RAM, 512GB SSD, Tela 15.6 IPS 144Hz, Linux KeepOS, Graphite Black - FA506NFR-HN069",Asus,4.8,122,5.299,4.899
Notebook 2 Em 1 Dell Inspiron 2in1-i1300-m10c 14  Fhd+ Touch Prata Gelo,Dell,5.0,2,6.179,5.759
Notebook Lenovo Thinkpad T470 Core I5 6ta 240gb + 8gb Cor Preto - Excelente (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,1.789,1.413
Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Lenovo,4.8,1021,2.699,2.379
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",Positivo,4.7,183,2.199,1.599
"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",Samsung,4.7,16,5.849,5.556
Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera Preto,Dell,4.8,8,3.319,3.069
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR",123 Comprou,4.8,668,4.141,2.879
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Loi Brasil,5.0,1,4.666,3.299
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",Positivo,4.7,183,2.199,1.599
"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",Samsung,4.7,16,5.849,5.556
Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,Mercado Livre,4.8,154,Preço não encontrado,5.159
Notebook Thinkpad T460 I5 8gb/ssd240gb Windows10pro Digital - Bom (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,1.55,1.271
"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732",Asus,4.8,1070,2.899,2.464
Notebook Gamer Rog Strix G16 Core I9 16gb 512ssd W11 Rtx 4060 Cor Cinza Asus,Mercado Livre,4.9,56,12.5,10.429
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Vikings,4.9,1356,5.712,3.899
"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Vikings,4.8,4606,4.199,2.999
