nome,vendedor,Avaliação,reviews,preco_antigo,preco_atual
Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Linux 15.6 - 83mes00000 Luna Grey,Lenovo,4.9,110,5.299,4.579
Dell Latitude 3450 i5-1335U SSD de 256 GB Ddr5 Hd Win11 Pro Cinza,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,5.549
"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Positivo,4.6,34,4.099,2.999
Notebook Asus Zenbook 14 Oled Ux3405ma Intel Core Ultra 9 185h Ai 32gb Ram 1tb Ssd Windows 11 Home Tela 14 Blue - Pp809w,Asus,4.2,10,11.599,9.859
"Notebook Gamer Dell G15-i1300-D35P 15.6"" FHD 13ª Geração Intel Core i5 16GB 512GB SSD NVIDIA RTX 3050 Linux",Vendedor não encontrado,4.8,245,Preço não encontrado,5.99
Notebook Dell Core I5 10th Gen 16gb Ram 256gb Ssd Windows 11 Prateado (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.99
"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Asus,4.4,108,1.999,1.719
Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i5-13420h 16gb 512gb Ssd Windows 11 15.3 - 83ns0001br Luna Grey,Lenovo,4.5,4,Preço não encontrado,3.419
Notbook Lenovo T480 Intel Core I5-83350u 16gb Ssd 256gb 14 - Excelente (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.849
Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 5825u 16gb Ram 512gb Ssd Windows 11 Home Tela 15.6 Led Fhd Silver - Nj655w,Asus,4.8,12,4.599,3.404
Notebook Lenovo LOQ 15irx9 Intel Core i7-13650hx 16gb 512gb Ssd Rtx 4050 Linux 15.6 - 83khs00100 Luna Grey,Lenovo,4.9,14,7.599,6.629
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Mobcom,4.8,19,6.657,4.699
"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 512GB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ612",Asus,Avaliação não encontrada,reviews não encontrados,3.899,3.23
"Bloco Rhodia Edição 90 Anos & Paper People 7,2x10,3cm 80 Fls",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,24.0
Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera Preto,Dell,4.8,8,3.319,3.069
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR",123 Comprou,4.8,668,4.141,2.879
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Loi Brasil,5.0,1,4.666,3.299
"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 5825U 16GB Ram 512GB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ612",Asus,Avaliação não encontrada,reviews não encontrados,3.899,3.23
"Bloco Rhodia Edição 90 Anos & Paper People 7,2x10,3cm 80 Fls",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,24.0
Notebook Dell Latitude 3400 I5 8a Geração 16gb Ram 240gb Ssd,Vendedor não encontrado,5.0,1,2.499,2.374
"Notebook Dell, Lat 3490, Tela 14'', I5 7a Ger, 8gb, Ssd256gb - Bom (Recondicionado)",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,2.348,1.479
Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Linux Keepos Tela 16 Ips Fhd Silver - Mb742,Asus,4.9,57,4.199,3.25
"Bloco Rhodia Edição 90 Anos & Paper People 20,8x31,6cm 80fls",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,99.0
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Vikings,4.9,1356,5.712,3.899
"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",123 Comprou,4.5,387,2.055,1.367
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD,123 Comprou,4.9,42,4.998,2.879
Notebook Asus Celeron N4020 15.6 128gb W11h X515ma-br933ws,Vendedor não encontrado,4.7,665,1.899,1.785
Notebook Lenovo Thinkpad T480 I5-8º 8gb 240gb Ssd Vitrine Cor Black - Excelente (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,2.499,1.674
Notebook Lenovo E14 Thinkpad Core Ultra 7 155u 32gb 1tb Ssd Preto (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,7.999,4.559
MacBook Air M2 2023 prateado 8GB de Ram - 256GB SSD - Apple Chip M2,Mobi Phone,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,14.18
Notebook Lenovo V14 G4 Amd Ryzen 5 7520u 8gb 256gb Dos 14,Lenovo,4.0,5,2.599,2.269
"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Cinza-espacial",Vendedor não encontrado,4.9,1041,5.999,5.118
Notebook Gamer Acer Nitro V15 15.6 Fhd 144hz I5-13420h Ssd 512gb 8gb Ddr5 Rtx 2050 4gb Linux Gutta Anv15-51-50kd,Carrefour,4.8,256,4.999,4.299
"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",123 Comprou,4.7,43,3.712,2.539
Notebook Acer Vero AV15-53P-56HM Intel® Core™ i5 – 1335U 15.6” Full HD Intel® Iris® Xe 512 GB SSD 8 GB RAM Windows 11 Home,2Eletro,4.9,47,4.199,3.599
Rhodia Katakana 162100K 80 folhas quadriculadas 1 assuntos unidade x 1 14.8cm x 21cm cor laranja,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,55.0
Notebook Acer Ryzen 7 Octa-cor 12gb Nvme 512gb 15.6' Full Hd,Facini Informatica,5.0,1,4.248,3.738
"Notebook Latitude 5400 14"" preto 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.799
Notebook Lenovo V14 G4 Intel Core I5 8gb 256gb W11 Pro 14,Lenovo,Avaliação não encontrada,reviews não encontrados,3.549,3.279
Notebook Lenovo Thinkbook 14 Intel Core i7 32gb 1tb W11pro,Lenovo,5.0,4,7.899,6.894
Chromebook Lenovo 100e Intel Celeron N4500 4gb 32gb,Lenovo,4.9,9,1.649,1.424
Notebook Samsung Galaxy Book4 I3- 1335u 512gb Np754xgj-kg3br,Login,5.0,3,5.999,4.599
Apple Macbook Air 13.6 256gb SSD/16GB RAM M3 Chip Amv Color Silver,Vendedor não encontrado,5.0,3,Preço não encontrado,9.842
Notebook Compaq Presario 452 14.1 Hd I5-6287u 1tb 8gb Linux,Vendedor não encontrado,4.0,5,Preço não encontrado,3.625
Notebook Gamer 15  I5 16gb Placa Vídeo Jogos Trabalho Estudo,Altas Vendas,5.0,2,Preço não encontrado,1.376
Notebook Asus Tuf Gaming F16 Fx608jhr Nvidia Rtx 5050 Intel Core I7 14650hx 16gb Ram 512gb Ssd Windows 11 Home Tela 16 165hz Nível Ips Cinza - Rv016w,NVIDIA,Avaliação não encontrada,reviews não encontrados,10.999,9.769
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Led Fhd Silver - Nj1726",Asus,4.6,19,2.699,2.321
"Notebook Asus Vivobook Go E1504ga Intel Core I3 N305 8gb Ram 512gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj438",Asus,4.8,122,2.799,2.411
Notebook Gamer 15  I5 16gb Placa Vídeo Jogos Trabalho Estudo,Altas Vendas,5.0,1,Preço não encontrado,1.457
Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,Vendedor não encontrado,4.8,149,Preço não encontrado,4.199
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Vendedor não encontrado,4.6,547,1.899,1.196
Notebook Dell Latitude 3440 Intel Core I5 12th 8gb 256 Gb Cor Cinza,Vendedor não encontrado,5.0,1,Preço não encontrado,4.589
"Notebook Acer Core I5 12th Gen 32gb Nvme 1tb, 15.6' Full Hd",Facini Informatica,4.9,15,5.333,4.319
"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1287",Vendedor não encontrado,4.6,103,2.499,2.028
Notebook Hp Core I5 11th 16gb Ram 256gb Ssd Hdmi Wifi Win11 Prateado (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.499
Notebook Ideapad 1 R3 8gb 256gb W11 15.6 82x5000abr AMD Ryzen 3,Vendedor não encontrado,4.8,1021,Preço não encontrado,2.599
Notebook Lenovo Thinkpad T14 I5 16gb 256gb Ssd W11 Pro 14 - Excelente (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.841
"Notebook ASUS Vivobook 15 X1504VA Intel Core i5 1334U 8Gb Ram 512Gb SSD Windows 11 Home Intel Iris Xe Tela 15,6"" LED FHD Blue - NJ1743W",Asus,Avaliação não encontrada,reviews não encontrados,3.599,3.113
"Notebook Asus Vivobook 15 Core I5 8gb 256ssd W11 15,6 Prata Cor Prata metálico",Vendedor não encontrado,4.8,54,2.999,2.699
"Notebook ASUS Vivobook 15 X1504ZA Intel Core i5 1235U 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Blue - NJ987W",Vendedor não encontrado,4.9,605,Preço não encontrado,3.64
Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2,Canal Eletro,4.2,160,Preço não encontrado,2.699
Notebook Asus Tuf Gaming F16 Fx607vu Rtx4050 Intel Core 5 210h 8gb Ram 512gb Ssd Linux Keepos Tela Nível Ips 16 Led 144hz Gray - Rl054,Asus,Avaliação não encontrada,reviews não encontrados,8.499,6.489
"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Linux Cinza Grafite VJFE54F11X B2611H",Vaio,4.1,10,4.599,3.599
"Notebook VivoBook X543UA 15.6"" cinza-escuro 8GB de Ram - 256GB SSD - Intel Core i5",Vendedor não encontrado,4.7,193,2.799,2.351
Notebook Lenovo LOQ-e 15iax9e Intel Core i7-12650hx 16gb 512gb Ssd RTX 4050 Windows 11 Pro 15.6 - 83me000bbr Luna Grey,Lenovo,Avaliação não encontrada,reviews não encontrados,7.999,7.019
Notebook Lenovo V14 G4 Iru Intel Core I5 8gb 256gb W11 14,Lenovo,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,3.099
Notebook Lenovo V14 G4 Intel Core i5 16GB RAM 512GB SSD Windows 11 Pro,Lenovo,Avaliação não encontrada,reviews não encontrados,4.599,3.979
"Notebook ASUS Vivobook 15 Core I5 1235U 3.3 GHz 8GB Ram 256GB SSD W11 Home Tela 15,6” NanoEdge Full HD Cool Silver X1504ZA-NJ985W",Login,4.8,311,Preço não encontrado,3.399
"Notebook Ideapad 1i Intel Core i7 1255U 16GB RAM 512GB SSD Windows 11 Home Tela 14"" HD 83AF000FBR",Vendedor não encontrado,4.8,5440,Preço não encontrado,4.499
Notebook Lenovo Loq 15irx9 Intel Core i7-13650hx 16gb 512gb Ssd Rtx 4050 Windows 11 15.6 - 83kh0003br Luna Grey,Lenovo,4.9,14,8.199,7.149
"Bloco Rhodia Edição 90 Anos & Paper People 8,3x11,8cm 80 Fls",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,29.0
Notebook Dell Inspiron I15-i120k-u25m 15.6  Full Hd 12ª Gera Preto,Dell,4.8,8,3.319,3.069
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Loi Brasil,5.0,1,4.666,3.299
"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U, Windows 11 Home, 8GB, 256GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Vikings,4.9,1356,5.712,3.899
Notebook Lenovo Loq 15irx9 Intel Core i7-13650hx 16gb 512gb Ssd Rtx 4050 Windows 11 15.6 - 83kh0003br Luna Grey,Lenovo,4.9,14,8.199,7.149
"Bloco Rhodia Edição 90 Anos & Paper People 8,3x11,8cm 80 Fls",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,29.0
"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Vendedor não encontrado,4.6,33,Preço não encontrado,2.499
"Bloco Rhodia Edição 90 Anos & Paper People 10,3x14,6cm 80fls",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,34.0
Notebook Lenovo LOQ-e 15iax9e Intel Core i7-12650HX 16gb 512gb SSD RTX 4050 Windows 11 15.6 - 83me0002br Luna Grey,Lenovo,4.7,7,7.199,6.284
Notebook Lenovo ThinkBook 14 G6 Intel Core i7-13700H 16GB 512GB SSD Windows 11 - 21NQ000HBR Arctic Grey,Lenovo,5.0,7,Preço não encontrado,5.934
Notebook Gamer Acer Nitro V15 15.6 Fhd 144hz I5-13420h Ssd 512gb 8gb Ddr5 Rtx 2050 4gb Linux Gutta Anv15-51-50kd,Carrefour,4.8,256,4.999,4.299
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Mobcom,4.8,19,6.657,4.699
Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,123 Comprou,Avaliação não encontrada,reviews não encontrados,3.123,1.664
Netbook 2 Em 1 Tablet Intel Atom Memoria 2gb Windows E Hdmi Cor Branco - Excelente (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,559.0
Notebook Lenovo Ideapad 1 Amd Ryzen 5 8gb 512gb Windows 11,Lenovo,Avaliação não encontrada,reviews não encontrados,2.999,2.819
Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,Asus,4.9,25,5.699,4.33
Notebook Hp 256 G8 Intel I5-10a 8gb 256gb Latitude Vostro Cinza (Recondicionado),Vendedor não encontrado,5.0,1,Preço não encontrado,1.929
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Windows 11 Home 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0211h - Permite upgrade de memória RAM e SSD",Vaio,5.0,7,5.999,5.229
Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i7-13620h 24gb 512gb Ssd Windows 11 15.3 - 83ns0008br Luna Grey,Lenovo,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,4.769
Notebook Vaio Fe15 Amd Ryzen 5 8gb Ram 256gb Windows 11 Home Cor Cinza,Vendedor não encontrado,4.8,81,3.563,3.076
Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Vendedor não encontrado,4.9,4423,6.699,3.299
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - - Permite upgrade de memória RAM e SSD",Vaio,4.8,37,4.999,3.799
"Dell Latitude 3490 16 GB RAM 256 GB SSD Processador Intel Core i7 Windows 11 Cor Preto 14"" - Excelente (Recondicionado)",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.199
Macbook Pro A2251 2020 13  16gb Ram 512gb Ssd Space Gray,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,3.399
Notebook Acer Aspire 5 Intel Core I3 Linux 4gb 256gb Sdd 14,2Eletro,4.6,425,2.999,2.399
"Notebook Dell Inspiron 3530 cinza de 15,6"", Intel Core i7 1355U 16 GB de RAM, SSD de 512 GB, NVIDIA GeForce MX550 120 Hz 1920x1080px Windows 11 Home - Bom (Recondicionado)",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,5.5,4.565
Notebook HP 15-fd0023dx 15.6 Fhd Touch de 256 GB/8 GB I3 W11 - prata,Vendedor não encontrado,4.7,3,Preço não encontrado,3.399
Notebook Gamer Lenovo Loq-e Ci5-12450 Rtx3050 512gb 16gb W11 Luna Grey,Mobcom,4.9,76,5.571,4.899
"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Positivo,4.7,49,3.899,2.865
"Notebook Dell, Lat 3490, Tela 14'', I5 7a Ger, 8gb, Ssd256gb - Excelente (Recondicionado)",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,2.249,1.484
Notebook Asus Vivobook Go 15 Intel Celeron 4gb 128gb Wind11,Vendedor não encontrado,4.3,9,Preço não encontrado,1.799
Notebook Acer Aspire 5 Amd Ryzen 7 15.6 Amd Radeon 512gb 8gb,Mobcom,4.8,13,3.675,2.999
Notebook Lenovo Ideapad 1 Amd Ryzen 3 8gb 256gb Windows 11,Lenovo,Avaliação não encontrada,reviews não encontrados,2.599,2.449
Notebook Hp Probook 640 G8 Core I5-1145g7 16gb Ssd 512gb,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.327
Notebook Dell Latitude 3410 Core I5 10ger 8gb 240ssd Win 11 Cor Cinza - Excelente (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.183
Notebook Acer Gamer Nitro V15 Intel Core I7 13ª Ger. 16gb 512ssd Rtx3050 Com 6gb Gddr6 Nvidia Geforce Linux Gutta ANV15-51-73E9,Vendedor não encontrado,4.8,168,Preço não encontrado,6.359
"Notebook Vaio Fe16 Amd Ryzen 7 5825u Linux 8gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite Vjfe69f11xb0321h - Permite upgrade de memória RAM e SSD",Vaio,4.7,7,4.299,3.249
"Notebook Inspiron 3530 15.6"" preto 16GB de Ram - 512GB SSD - Intel Core i5",Mercado Vendeu,4.6,11,Preço não encontrado,4.05
"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",Asus,4.8,335,2.599,2.239
Notebook Lenovo Ideapad 1 R5-7520u 8gb 512gb Ssd Linux 15.6,Lenovo,4.8,26,2.699,2.559
Notebook Dell Latitude 3410 Core I7 10th 16gb 256gb Ssd Nvme Cor Cinza - Excelente (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,3.499,2.799
Notebook Lenovo Thinkpad P53 I7 9a Ger 32gb 256gb Nvme + 1tb Preto (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,4.234,3.599
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Windows 11 Home Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1738w",Asus,Avaliação não encontrada,reviews não encontrados,3.399,2.942
"Notebook Vaio F14, 13ª Gen Intel Core I7, 16gb 512gb Ssd, 14 Full Hd Antirreflexo, Windows 11 Home, Warm White, Desbloqueio Facial E Por Digital, Teclado Retroiluminado B1011w",Vaio,5.0,2,7.999,6.559
Notebook Dell Latitude 3420 Core I7 1165g7  11a 512gb 16gb Cinza (Recondicionado),Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,3.897
Notebook Dell Latitude Intel I3-10110 Ram 8gb Ssd 480gb,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.559
Notebook Vaio C14 I3-6006u Memória 8gb Hd De 1tb Tela 14'',Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.109
Notebook Lenovo Lenovo V14 Amd Ryzen 5 8gb 256gb W11,Lenovo,5.0,2,2.899,2.529
Notebook Hp 840 G7 I5 10a Geração - 8gb Ram - Ssd 240gb W11,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,2.999,1.949
"Notebook ASUS TUF Gaming A15 FA506NFR RTX 2050 AMD Ryzen 7 7435HS 16Gb Ram 512Gb SSD Windows 11 Home Tela 144Hz nivel IPS 15,6"" FHD Graphite Black - HN060W",Vendedor não encontrado,4.7,20,6.199,5.569
MacBook Air M2 2022 midnight 16GB de Ram - 256GB SSD - Apple M,Vendedor não encontrado,5.0,34,Preço não encontrado,6.861
Notebook Lenovo Thinkpad T14 Intel Core I5 10ager 16gb 256gb,Vendedor não encontrado,5.0,5,Preço não encontrado,1.969
Notebook Hp 256r G9 Ci3 15.6  Uhd Graphics 256gb Ssd 8gb W11 Cinza-escuro,HP,4.8,12,3.399,2.599
Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,Vendedor não encontrado,5.0,7,Preço não encontrado,14.449
Notebook Lenovo V14 G4 Iru Intel Core I3 8gb 256gb W11 Pro,Lenovo,Avaliação não encontrada,reviews não encontrados,3.499,3.059
"Notebook Asus Vivobook Go 15 E510ka Intel Celeron Dual Core N4500 4gb Ram 128gb Emmc Windows 11 Home 15,60 Hd Rosa - Br833ws",Asus,4.7,611,2.099,1.7
Notebook Lenovo V14 G4 Iru Intel Core I7 16gb 512gb W11 14,Lenovo,5.0,2,4.899,4.519
"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 4gb Ram 128gb Ssd Linux Tela 15,6"" Intel Uhd Graphics 82VYS01100",Vendedor não encontrado,4.8,637,3.051,2.528
"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 8gb RAM 256gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0421h - Permite upgrade de memória RAM e SSD",Loi Brasil,5.0,1,4.666,3.299
Notebook Gamer Acer Nitro V15 15.6 Fhd 144hz I5-13420h Ssd 512gb 8gb Ddr5 Rtx 2050 4gb Linux Gutta Anv15-51-50kd,Carrefour,4.8,256,4.999,4.299
Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Mobcom,4.8,19,6.657,4.699
Notebook Lenovo E14 Intel Core Ultra 7 155u 32gb 1tb Ssd M2 Preto (Recondicionado),Vendedor não encontrado,5.0,1,7.999,4.319
"Dell Xps 13 9370, Core I7, 16gb Ram, 512gb Ssd, Touch 4k",Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,3.199,2.815
Apple Macbook Pro 14 Chip M4 16gb 512gb A3112 2024 Preto-espacial,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,14.999
Notebook Intel Core I7 Dell Ram 16gb Ssd M2 512gb Windows 11 Preto,Canal Eletro,5.0,6,Preço não encontrado,2.999
Notebook Lenovo V15 G4 Intel Core I5 16gb 512gb W11pro 15.6,Lenovo,5.0,1,Preço não encontrado,4.454
Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Bom (Recondicionado),Micro Livre,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,1.708
Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Vendedor não encontrado,4.9,4423,6.699,3.299
"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - - Permite upgrade de memória RAM e SSD",Vaio,4.8,37,4.999,3.799
Lenovo Loq-e Ci5 Rtx3050 16gb+controle Xbox Pc+giftcard R$50,Mobcom,4.8,40,6.656,4.999
Notebook Lenovo ThinkBook 14 G6 Intel Core i5-13420H 16GB 512GB SSD Windows 11 - 21NQ000PBR Arctic Grey,Lenovo,5.0,7,5.399,4.709
Notebook Asus Zenbook S14 Core Ultra7 258v 32gb 1tb Ssd W11,Fast Shop,5.0,2,13.999,10.317
"Notebook Latitude 5490 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",Vendedor não encontrado,4.2,82,Preço não encontrado,2.299
Notebook Acer Aspire 5 A515-45-R36L Ryzen 7 15.6 Radeon 512gb 12gb Linux,Vendedor não encontrado,4.9,988,Preço não encontrado,3.298
Notebook Dell Latitude 3410 Core I3 10ger 8gb 240gb Ssd,Vendedor não encontrado,4.0,1,Preço não encontrado,2.499
Notebook Precision 7540 Xeon 16gb Ddr4 Ssd 512gb Nvidia 4gb,Vendedor não encontrado,Avaliação não encontrada,reviews não encontrados,3.799,2.849
Lenovo Loq-e Ci5 Rtx3050 16gb+controle Xbox + Gift Card R$50,Mobcom,5.0,13,6.656,4.999
Lenovo Loq-e Ci5 Rtx3050 16gb+controle Xbox + Gift Card R$50,Mobcom,4.9,10,6.999,5.299
Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Positivo,4.5,460,2.099,1.399
"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Prata",Vendedor não encontrado,4.9,1041,Preço não encontrado,5.899
"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",Siberiano,4.7,410,2.499,2.254
Notebook Dell Latitude 5420 I7 11o Geração 16gb Ssd 256gb,Vendedor não encontrado,5.0,1,Preço não encontrado,2.79
Notebook Lenovo Ideapad Slim 3 15irh10 Intel Core i7-13620h 16gb 512gb Ssd Linux 15.3 - 83nss00100 Luna Grey,Lenovo,Avaliação não encontrada,reviews não encontrados,4.599,4.019
Notebook Lenovo Ideapad 1 Amd Ryzen 5 8gb 512gb Windows 11,Lenovo,Avaliação não encontrada,reviews não encontrados,Preço não encontrado,2.629
Notebook Motion Gray 14'' Q4128c 128g 4gb Ram W10 Positivo Cor Cinza,Vendedor não encontrado,4.1,2657,Preço não encontrado,1.649
Notebook Lenovo Ideapad Slim 3 Intel Core I5 8gb 512gb Linux,Lenovo,Avaliação não encontrada,reviews não encontrados,3.199,2.949
Macbook Air de 13 polegadas chip SSD M4 de 256 GB azul celeste azul,Vendedor não encontrado,4.9,8,Preço não encontrado,7.799
