nome;vendedor;Avaliação;reviews;preco_antigo;preco_atual;source;data
"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL";Acer Brasil;4.8;1413.0;;7299.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza;Positivo;4.6;3435.0;1999.0;1599.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto;Mercado Livre;4.8;1236.0;7398.0;4962.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11;Dell;4.8;2043.0;4399.0;3799.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook VAIO FE16 AMD Ryzen 5-5625U Linux 8GB RAM 256GB SSD Wi-Fi 6 Tela 16'' IPS WUXGA Antirreflexo - Cinza Grafite - Vjfe69f11x-b0411h - Permite upgrade de memória RAM e SSD;123 Comprou;4.9;42.0;4998.0;2879.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza";Positivo;4.6;1068.0;2798.0;1799.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza;TCN;4.8;1457.0;3569.0;2289.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto;Positivo;4.7;43.0;3900.0;2422.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd;Mercado Livre;4.7;609.0;2599.0;2368.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
"Notebook Lenovo IdeaPad 3i Intel Core I3 - 1115G4, 8GB RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" - 82MD0010BR";123 Comprou;4.8;668.0;4141.0;2879.0;https://lista.mercadolivre.com.br/notebooks;2025-07-28 22:06:17.449692
